team,name,PA,BsR,wOBA
Padres,Luis Urias,600,-0.2,0.295
Padres,Francisco Mejia,600,0.3,0.29600000000000004
Padres,Hunter Renfroe,600,-0.2,0.318
Padres,Eric Hosmer,600,-1.3,0.33
Padres,Wil Myers,600,1.1,0.331
Padres,Franmil Reyes,600,0.0,0.317
Padres,Freddy Galvis,600,0.3,0.28300000000000003
Padres,Manuel Margot,600,0.1,0.3
Padres,Brett Kennedy,600
Reds,Scott Schebler,600,0.6,0.325
Reds,Jose Peraza,600,1.2,0.306
Reds,Joey Votto,600,-3.5,0.385
Reds,Scooter Gennett,600,-0.5,0.32299999999999995
Reds,Eugenio Suarez,600,-0.8,0.34700000000000003
Reds,Mason Williams,600,0.0,0.282
Reds,Tucker Barnhart,600,-2.0,0.306
Reds,Phillip Ervin,600,0.9,0.305
Reds,Anthony DeSclafani,600
Cubs,Daniel Murphy,600,-0.3,0.348
Cubs,Javier Baez,600,1.4,0.335
Cubs,Anthony Rizzo,600,-1.6,0.385
Cubs,Kris Bryant,600,2.6,0.374
Cubs,Kyle Schwarber,600,0.7,0.34700000000000003
Cubs,David Bote,600,0.3,0.309
Cubs,Willson Contreras,600,-2.0,0.332
Cubs,Jon Lester,600
Cubs,Ian Happ,600,-0.3,0.315
Nationals,Adam Eaton,600,1.9,0.33799999999999997
Nationals,Trea Turner,600,3.7,0.34
Nationals,Bryce Harper,600,1.0,0.39
Nationals,Anthony Rendon,600,1.2,0.363
Nationals,Ryan Zimmerman,600,-0.2,0.349
Nationals,Juan Soto,600,0.3,0.369
Nationals,Adrian Sanchez,600,0.1,0.26899999999999996
Nationals,Spencer Kieboom,600,0.0,0.28600000000000003
Nationals,Joe Ross,600
Marlins,Rafael Ortega,600,0.1,0.299
Marlins,Starlin Castro,600,-1.2,0.309
Marlins,J.T. Realmuto,600,0.8,0.33
Marlins,Brian Anderson,600,-0.1,0.318
Marlins,Miguel Rojas,600,-1.5,0.29100000000000004
Marlins,Lewis Brinson,600,0.3,0.29100000000000004
Marlins,Peter O'Brien,600,0.0,0.273
Marlins,Magneuris Sierra,600,0.2,0.25
Marlins,Dan Straily,600
Pirates,Starling Marte,600,2.4,0.33799999999999997
Pirates,Kevin Kramer,600
Pirates,Gregory Polanco,600,0.7,0.33299999999999996
Pirates,Francisco Cervelli,600,-0.9,0.332
Pirates,Corey Dickerson,600,-1.0,0.332
Pirates,Josh Bell,600,-1.7,0.33899999999999997
Pirates,Colin Moran,600,-1.2,0.313
Pirates,Jordy Mercer,600,0.2,0.302
Pirates,Chris Archer,600
Indians,Francisco Lindor,600,0.1,0.363
Indians,Jason Kipnis,600,1.3,0.321
Indians,Jose Ramirez,600,2.3,0.374
Indians,Edwin Encarnacion,600,-2.8,0.354
Indians,Yonder Alonso,600,-1.4,0.331
Indians,Brandon Guyer,600,-0.4,0.313
Indians,Yan Gomes,600,-0.2,0.294
Indians,Greg Allen,600,1.1,0.287
Indians,Rajai Davis,600,3.3,0.278
Blue Jays,Billy McKinney,600,0.1,0.317
Blue Jays,Lourdes Gurriel Jr.,600
Blue Jays,Justin Smoak,600,-2.6,0.341
Blue Jays,Randal Grichuk,600,0.9,0.327
Blue Jays,Rowdy Tellez,600,0.1,0.304
Blue Jays,Kevin Pillar,600,1.6,0.303
Blue Jays,Aledmys Diaz,600,-1.6,0.32299999999999995
Blue Jays,Richard Urena,600,-0.2,0.26899999999999996
Blue Jays,Luke Maile,600,-0.1,0.271
Orioles,Cedric Mullins,600,0.8,0.307
Orioles,Joey Rickard,600,0.9,0.298
Orioles,Jonathan Villar,600,1.2,0.309
Orioles,Trey Mancini,600,0.1,0.32799999999999996
Orioles,Tim Beckham,600,-0.3,0.301
Orioles,Renato Nunez,600,0.0,0.3
Orioles,John Andreoli,600,0.5,0.28300000000000003
Orioles,Breyvic Valera,600,-0.6,0.295
Orioles,Austin Wynns,600,0.0,0.281
Rays,Mallex Smith,600,2.1,0.305
Rays,Matt Duffy,600,-1.0,0.309
Rays,Ji-Man Choi,600,-0.4,0.322
Rays,Tommy Pham,600,1.7,0.33299999999999996
Rays,Joey Wendle,600,-0.2,0.289
Rays,Kevin Kiermaier,600,2.4,0.304
Rays,Willy Adames,600,0.3,0.294
Rays,Jake Bauers,600,0.5,0.305
Rays,Nick Ciuffo,600,0.4,0.25
Astros,George Springer,600,0.5,0.35600000000000004
